
2025/03/13 (09:18:01) | ===> btop++ v.1.4.0
2025/03/13 (09:18:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/13 (09:18:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/17 (16:10:48) | ===> btop++ v.1.4.0
2025/03/17 (16:10:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/17 (16:10:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/20 (10:12:06) | ===> btop++ v.1.4.0
2025/03/20 (10:12:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/20 (10:12:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/20 (16:31:02) | ===> btop++ v.1.4.0
2025/03/20 (16:31:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/20 (16:31:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/24 (10:10:51) | ===> btop++ v.1.4.0
2025/03/24 (10:10:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/24 (10:10:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/24 (10:17:55) | ===> btop++ v.1.4.0
2025/03/24 (10:17:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/24 (10:17:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/24 (10:26:22) | ===> btop++ v.1.4.0
2025/03/24 (10:26:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/24 (10:26:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/25 (06:48:26) | ===> btop++ v.1.4.0
2025/03/25 (06:48:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (06:48:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/25 (10:08:50) | ===> btop++ v.1.4.0
2025/03/25 (10:08:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (10:08:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/25 (10:27:49) | ===> btop++ v.1.4.0
2025/03/25 (10:27:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (10:27:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/25 (23:48:12) | ===> btop++ v.1.4.0
2025/03/25 (23:48:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (23:48:12) | WARNING: ROCm SMI: Failed to get PCIe throughput
